"","time","gold","silver"
"779","2004-12-24",260.54,271.09
"780","2004-12-27",262.54,274.68
"781","2004-12-28",262.03,276.78
"782","2004-12-29",257.16,267.74
"783","2004-12-30",258,268.15
"784","2004-12-31",258.02,268.16
"785","2005-01-03",252.94,255.27
"786","2005-01-04",252.67,253.13
"787","2005-01-05",251.56,256.4
"788","2005-01-06",248.22,253.28
"789","2005-01-07",247,253.02
"790","2005-01-10",247.17,253.14
"791","2005-01-11",248.77,260.54
"792","2005-01-12",251.25,264.68
"793","2005-01-13",250.39,264.77
"794","2005-01-14",249.17,258.9
"795","2005-01-17",249.17,258.9
"796","2005-01-18",249.53,261.32
"797","2005-01-19",249.37,260.16
"798","2005-01-20",248.98,257.55
"799","2005-01-21",251.52,267.54
"800","2005-01-24",251.74,269.48
"801","2005-01-25",248.83,262.62
"802","2005-01-26",251.66,267.35
"803","2005-01-27",251.26,267.96
"804","2005-01-28",251.1,267
"805","2005-01-31",248.81,265.16
"806","2005-02-01",248.12,264.51
"807","2005-02-02",248.19,265.32
"808","2005-02-03",245.57,262.46
"809","2005-02-04",244.06,260.83
"810","2005-02-07",243.82,257.74
"811","2005-02-08",243.19,257.84
"812","2005-02-09",243.33,259.14
"813","2005-02-10",245.81,273.88
"814","2005-02-11",247.76,283.52
"815","2005-02-14",250.93,288.7
"816","2005-02-15",250.94,289.54
"817","2005-02-16",250.73,285.46
"818","2005-02-17",251.74,289.98
"819","2005-02-18",251.64,291.83
"820","2005-02-21",251.64,291.83
"821","2005-02-22",256.06,296.07
"822","2005-02-23",256.26,293.07
"823","2005-02-24",256.04,290.79
"824","2005-02-25",256.29,287.21
"825","2005-02-28",257.23,289.54
"826","2005-03-01",255.08,284.47
"827","2005-03-02",255.04,287.55
"828","2005-03-03",253.29,284.51
"829","2005-03-04",255.84,289.24
"830","2005-03-07",256.31,289.69
"831","2005-03-08",259.44,295.32
"832","2005-03-09",260.52,299.33
"833","2005-03-10",260.83,294.93
"834","2005-03-11",262.84,296.64
"835","2005-03-14",259.86,290.43
"836","2005-03-15",259.76,290.34
"837","2005-03-16",261.42,292.12
"838","2005-03-17",258.46,290.38
"839","2005-03-18",258.83,290.01
"840","2005-03-21",254.03,278.9
"841","2005-03-22",254.16,277.59
"842","2005-03-23",250.5,273.97
"843","2005-03-24",250.22,272.14
"844","2005-03-25",250.22,272.14
"845","2005-03-28",251,271.13
"846","2005-03-29",251.02,273.98
"847","2005-03-30",251.57,280.47
"848","2005-03-31",252.53,281.79
"849","2005-04-01",250.91,274.75
"850","2005-04-04",249.62,275.75
"851","2005-04-05",249.99,276.52
"852","2005-04-06",251.53,279.56
"853","2005-04-07",251.08,277.82
"854","2005-04-08",251.33,281.37
"855","2005-04-11",252.33,284.98
"856","2005-04-12",251.7,281.08
"857","2005-04-13",252.72,283.84
"858","2005-04-14",249.57,277.42
"859","2005-04-15",250.12,275.96
"860","2005-04-18",251.64,276.88
"861","2005-04-19",254.83,284.91
"862","2005-04-20",256.2,288.33
"863","2005-04-21",254.87,283.66
"864","2005-04-22",255.59,285.99
"865","2005-04-25",255.77,285.47
"866","2005-04-26",257.67,285.34
"867","2005-04-27",254.81,280.63
"868","2005-04-28",253.84,271.55
"869","2005-04-29",256.03,271.26
"870","2005-05-02",252.8,268.78
"871","2005-05-03",251.18,269.12
"872","2005-05-04",252.55,274.22
"873","2005-05-05",252.98,276.2
"874","2005-05-06",250.77,272.39
"875","2005-05-09",250.83,276.95
"876","2005-05-10",251.46,278.34
"877","2005-05-11",251.48,277.58
"878","2005-05-12",248.12,272.52
"879","2005-05-13",247.26,271.56
"880","2005-05-16",246.5,272.33
"881","2005-05-17",246.81,275.76
"882","2005-05-18",248.06,282.04
"883","2005-05-19",247.38,279.52
"884","2005-05-20",245.59,272.3
"885","2005-05-23",245.18,272.95
"886","2005-05-24",245.66,274.26
"887","2005-05-25",246.44,279.57
"888","2005-05-26",245.94,280.54
"889","2005-05-27",247.01,286.36
"890","2005-05-30",247.01,286.36
"891","2005-05-31",245.04,292.01
"892","2005-06-01",244.36,294.7
"893","2005-06-02",248.53,295.7
"894","2005-06-03",249.14,294.36
"895","2005-06-06",250.72,295.6
"896","2005-06-07",249.75,291.9
"897","2005-06-08",249.71,293.12
"898","2005-06-09",249.44,285.14
"899","2005-06-10",251.33,285.87
"900","2005-06-13",252.45,285.04
"901","2005-06-14",251.42,285.69
"902","2005-06-15",252.37,287.66
"903","2005-06-16",256.49,289.24
"904","2005-06-17",257.74,287.9
"905","2005-06-20",257.81,286.69
"906","2005-06-21",258.12,286.32
"907","2005-06-22",257.68,285.06
"908","2005-06-23",259.75,285.7
"909","2005-06-24",259.07,286.04
"910","2005-06-27",258.96,284.59
"911","2005-06-28",256.63,278.76
"912","2005-06-29",257.18,277.42
"913","2005-06-30",256.32,276.27
"914","2005-07-01",251.48,269.26
"915","2005-07-04",251.48,269.26
"916","2005-07-05",248.69,268.38
"917","2005-07-06",249.06,271.72
"918","2005-07-07",248.91,272.92
"919","2005-07-08",248.7,274.7
"920","2005-07-11",250.23,277.7
"921","2005-07-12",250.74,276.95
"922","2005-07-13",249.27,276.39
"923","2005-07-14",246.74,273.48
"924","2005-07-15",247.34,273.31
"925","2005-07-18",247.29,273.96
"926","2005-07-19",246.79,273.21
"927","2005-07-20",247.91,276.48
"928","2005-07-21",250.08,279.12
"929","2005-07-22",249.69,278.37
"930","2005-07-25",250.28,279.42
"931","2005-07-26",248.86,274.67
"932","2005-07-27",249.63,275.56
"933","2005-07-28",251.22,281.85
"934","2005-07-29",252.7,284.3
"935","2005-08-01",253.87,286.06
"936","2005-08-02",253.89,284.41
"937","2005-08-03",256.82,286.19
"938","2005-08-04",257.42,284.07
"939","2005-08-05",256.92,280.41
"940","2005-08-08",255.55,274.9
"941","2005-08-09",255.28,275.71
"942","2005-08-10",256.58,277.41
"943","2005-08-11",261.77,281.55
"944","2005-08-12",262.09,277.97
"945","2005-08-15",259.96,273.2
"946","2005-08-16",262.25,276.25
"947","2005-08-17",258.61,274.34
"948","2005-08-18",258.35,274.56
"949","2005-08-19",256.92,274.97
"950","2005-08-22",257.46,277.07
"951","2005-08-23",258.24,273.49
"952","2005-08-24",257.05,271.61
"953","2005-08-25",257.59,268.06
"954","2005-08-26",257.04,264.4
"955","2005-08-29",256.7,264.05
"956","2005-08-30",253.3,262.91
"957","2005-08-31",254.83,266.43
"958","2005-09-01",259.75,273.57
"959","2005-09-02",260.93,275.04
"960","2005-09-05",260.93,275.04
"961","2005-09-06",261.09,276.04
"962","2005-09-07",261.35,276.84
"963","2005-09-08",262.37,273.37
"964","2005-09-09",263.73,274.83
"965","2005-09-12",264.21,274.72
"966","2005-09-13",262.08,272.6
"967","2005-09-14",264.27,274.19
"968","2005-09-15",267.55,275.5
"969","2005-09-16",269.91,283.7
"970","2005-09-19",274.12,288.06
"971","2005-09-20",273.92,287.19
"972","2005-09-21",275.46,288.78
"973","2005-09-22",274.15,288.81
"974","2005-09-23",272.36,285.72
"975","2005-09-26",273.79,286.97
"976","2005-09-27",271.89,285.56
"977","2005-09-28",275.94,288.51
"978","2005-09-29",277.54,294.46
"979","2005-09-30",275.52,292.81
"980","2005-10-03",273.85,290.68
"981","2005-10-04",273.88,289.53
"982","2005-10-05",273.91,291.63
"983","2005-10-06",277.26,296.22
"984","2005-10-07",278.86,303.08
"985","2005-10-10",279.12,306.09
"986","2005-10-11",280.2,307.29
"987","2005-10-12",278.36,305.88
"988","2005-10-13",276.75,301.89
"989","2005-10-14",275.61,306.88
"990","2005-10-17",278.5,307.48
"991","2005-10-18",277.36,305.95
"992","2005-10-19",272.25,298.37
"993","2005-10-20",270.76,298.98
"994","2005-10-21",274.23,300.58
"995","2005-10-24",273.09,301.18
"996","2005-10-25",277.63,305.78
"997","2005-10-26",276.66,307.3
"998","2005-10-27",278.21,306.44
"999","2005-10-28",277.77,305.69
"1000","2005-10-31",273.24,296.4
"1001","2005-11-01",269.58,292.13
"1002","2005-11-02",271.95,295.69
"1003","2005-11-03",270.4,298.18
"1004","2005-11-04",268.09,296.26
"1005","2005-11-07",269.64,297.61
"1006","2005-11-08",270.78,298.42
"1007","2005-11-09",273.87,300.53
"1008","2005-11-10",274.02,301.59
"1009","2005-11-11",274.99,303.76
"1010","2005-11-14",274.96,304.75
"1011","2005-11-15",274.88,304.97
"1012","2005-11-16",280.84,313.38
"1013","2005-11-17",285.4,317.32
"1014","2005-11-18",285.08,316.08
"1015","2005-11-21",287.1,318.9
"1016","2005-11-22",289.16,320.56
"1017","2005-11-23",288.85,319.08
"1018","2005-11-24",288.85,319.08
"1019","2005-11-25",288.91,319.15
"1020","2005-11-28",292.62,328.1
"1021","2005-11-29",293.17,326.12
"1022","2005-11-30",290.41,325.38
"1023","2005-12-01",294.87,333.84
"1024","2005-12-02",295.31,335.62
"1025","2005-12-05",298.66,339.15
"1026","2005-12-06",299.4,341.4
"1027","2005-12-07",301.76,344.73
"1028","2005-12-08",304.65,349.16
"1029","2005-12-09",309.05,353.28
"1030","2005-12-12",309.91,345.12
"1031","2005-12-13",305.63,333.61
"1032","2005-12-14",297.15,328.99
"1033","2005-12-15",295.49,335.63
"1034","2005-12-16",295.11,334.3
"1035","2005-12-19",295.32,336.16
"1036","2005-12-20",290.05,326.48
"1037","2005-12-21",289.09,328.07
"1038","2005-12-22",294.78,333.66
"1039","2005-12-23",294.93,336.31
"1040","2005-12-26",294.93,336.31
"1041","2005-12-27",297.92,342.95
"1042","2005-12-28",301.57,347.78
"1043","2005-12-29",302.3,345.75
"1044","2005-12-30",303.16,346.1
"1045","2006-01-02",303.16,346.1
"1046","2006-01-03",311.24,356.77
"1047","2006-01-04",313.08,357.2
"1048","2006-01-05",308.56,345.63
"1049","2006-01-06",316.43,357.39
"1050","2006-01-09",321.97,361.8
"1051","2006-01-10",319.2,351.4
"1052","2006-01-11",321.82,353.39
"1053","2006-01-12",321.39,353.24
"1054","2006-01-13",325.95,357.37
"1055","2006-01-16",325.95,357.37
"1056","2006-01-17",324.54,353.95
"1057","2006-01-18",318.83,346.19
"1058","2006-01-19",327.34,355.4
"1059","2006-01-20",324.48,348.49
"1060","2006-01-23",327.38,354.2
"1061","2006-01-24",327.07,360.29
"1062","2006-01-25",329.73,371.35
"1063","2006-01-26",328.25,375.1
"1064","2006-01-27",327.54,375.15
"1065","2006-01-30",331.67,381.92
"1066","2006-01-31",334.56,386.27
"1067","2006-02-01",333.72,382.8
"1068","2006-02-02",335.39,386.05
"1069","2006-02-03",332.41,381.52
"1070","2006-02-06",334.1,381.58
"1071","2006-02-07",322.8,368.02
"1072","2006-02-08",322.26,369.23
"1073","2006-02-09",330.62,377.8
"1074","2006-02-10",322.16,367.02
"1075","2006-02-13",315.64,356.95
"1076","2006-02-14",319.64,364.63
"1077","2006-02-15",316.07,360.68
"1078","2006-02-16",319.66,366.74
"1079","2006-02-17",323.08,368.77
"1080","2006-02-20",323.08,368.77
"1081","2006-02-21",324.41,373.84
"1082","2006-02-22",324.45,375.21
"1083","2006-02-23",321.16,371.22
"1084","2006-02-24",327.21,381.71
"1085","2006-02-27",324.88,376.8
"1086","2006-02-28",328.95,381.13
"1087","2006-03-01",330.1,380.59
"1088","2006-03-02",332.82,396.89
"1089","2006-03-03",331.46,397.99
"1090","2006-03-06",325.05,389.97
"1091","2006-03-07",323.75,393.21
"1092","2006-03-08",317.85,383.07
"1093","2006-03-09",319.46,387.98
"1094","2006-03-10",316.19,387.64
"1095","2006-03-13",319.9,395.45
"1096","2006-03-14",323.12,398.93
"1097","2006-03-15",323.92,403.07
"1098","2006-03-16",324.54,402.81
"1099","2006-03-17",324.4,403.75
"1100","2006-03-20",325.11,403.79
"1101","2006-03-21",323.41,411.75
"1102","2006-03-22",322.58,409.07
"1103","2006-03-23",322.04,416.73
"1104","2006-03-24",327.76,418.53
"1105","2006-03-27",332,424.93
"1106","2006-03-28",331.81,424.01
"1107","2006-03-29",335.57,433.62
"1108","2006-03-30",343.27,454.94
"1109","2006-03-31",340.35,449.53
"1110","2006-04-03",344.89,459.27
"1111","2006-04-04",342.79,457.96
"1112","2006-04-05",343.93,457.04
"1113","2006-04-06",348.15,470.37
"1114","2006-04-07",344.13,471.41
"1115","2006-04-10",349.55,490.75
"1116","2006-04-11",348.2,492.52
"1117","2006-04-12",349.35,495.15
"1118","2006-04-13",348.7,502.73
"1119","2006-04-14",348.7,502.73
"1120","2006-04-17",359.74,522.94
"1121","2006-04-18",362.41,539.44
"1122","2006-04-19",369.84,568.5
"1123","2006-04-20",362.38,490.39
"1124","2006-04-21",369.64,507.62
"1125","2006-04-24",363.04,461.28
"1126","2006-04-25",369.08,492.02
"1127","2006-04-26",373.66,502.02
"1128","2006-04-27",370.39,488.54
"1129","2006-04-28",381.04,528.96
"1130","2006-05-01",384.5,542.17
"1131","2006-05-02",388.75,551.75
"1132","2006-05-03",389.44,535.71
"1133","2006-05-04",394.15,536.94
"1134","2006-05-05",398.75,539.54
"1135","2006-05-08",396.34,535.09
"1136","2006-05-09",408.96,562.17
"1137","2006-05-10",411.48,555.05
"1138","2006-05-11",420.77,580.58
"1139","2006-05-12",415.28,553.45
"1140","2006-05-15",399.79,518.67
"1141","2006-05-16",404.41,526.71
"1142","2006-05-17",403.89,515.11
"1143","2006-05-18",397.58,487.17
"1144","2006-05-19",383.99,481.01
"1145","2006-05-22",384.2,483.92
"1146","2006-05-23",393.57,512.79
"1147","2006-05-24",372.62,487.36
"1148","2006-05-25",378.92,490.73
"1149","2006-05-26",380.41,495.86
"1150","2006-05-29",380.41,495.86
"1151","2006-05-30",382.41,509.37
"1152","2006-05-31",375.8,485.47
"1153","2006-06-01",366.88,464.1
"1154","2006-06-02",371.27,471.17
"1155","2006-06-05",375.87,479.55
"1156","2006-06-06",367.81,462.06
"1157","2006-06-07",366.64,463.88
"1158","2006-06-08",355.8,432.18
"1159","2006-06-09",355.26,437.43
"1160","2006-06-12",354.53,431.98
"1161","2006-06-13",328.77,375.94
"1162","2006-06-14",328.64,380.29
"1163","2006-06-15",330.89,389.39
"1164","2006-06-16",337.55,395.64
"1165","2006-06-19",332.29,389.64
"1166","2006-06-20",337.03,401.35
"1167","2006-06-21",343.18,407.25
"1168","2006-06-22",339.97,399.29
"1169","2006-06-23",341.53,402.25
"1170","2006-06-26",341.49,400.78
"1171","2006-06-27",339.62,399.25
"1172","2006-06-28",337.69,397.09
"1173","2006-06-29",342.33,404.05
"1174","2006-06-30",358.13,423.49
"1175","2006-07-03",358.28,423.67
"1176","2006-07-04",358.28,423.67
"1177","2006-07-05",366.34,442.99
"1178","2006-07-06",370.24,449.65
"1179","2006-07-07",369.41,442.73
"1180","2006-07-10",364.5,431.46
"1181","2006-07-11",374.41,448.6
"1182","2006-07-12",379.18,448.86
"1183","2006-07-13",381.11,446.2
"1184","2006-07-14",389,448.01
"1185","2006-07-17",379.86,431.1
"1186","2006-07-18",366.95,409.19
"1187","2006-07-19",374.59,432.58
"1188","2006-07-20",368.71,430.3
"1189","2006-07-21",361.62,421.81
"1190","2006-07-24",357.6,424.9
"1191","2006-07-25",360.45,425.93
"1192","2006-07-26",362.79,431.25
"1193","2006-07-27",369.01,443.37
"1194","2006-07-28",370.38,442.46
"1195","2006-07-31",369.96,442.84
"1196","2006-08-01",376.87,457.31
"1197","2006-08-02",379.96,477.05
"1198","2006-08-03",375.95,471.07
"1199","2006-08-04",375.43,486.53
"1200","2006-08-07",377.59,478.16
"1201","2006-08-08",376.38,478.06
"1202","2006-08-09",379.13,490.17
"1203","2006-08-10",370.02,472.25
"1204","2006-08-11",369.15,463.82
"1205","2006-08-14",366.38,474.6
"1206","2006-08-15",362.77,471.82
"1207","2006-08-16",366.31,479.74
"1208","2006-08-17",358.51,468.56
"1209","2006-08-18",356.5,469.98
"1210","2006-08-21",364.39,482.54
"1211","2006-08-22",363.75,479.41
"1212","2006-08-23",363.23,489.38
"1213","2006-08-24",360.7,481.47
"1214","2006-08-25",362.07,483.85
"1215","2006-08-28",358.26,470.55
"1216","2006-08-29",355.55,475.44
"1217","2006-08-30",359.62,488.93
"1218","2006-08-31",364.32,502.89
"1219","2006-09-01",363.45,504.51
"1220","2006-09-04",363.45,504.51
"1221","2006-09-05",371.87,507.49
"1222","2006-09-06",368.99,509.88
"1223","2006-09-07",359.33,490.44
"1224","2006-09-08",355,475.05
"1225","2006-09-11",343.64,434.47
"1226","2006-09-12",341.96,430.67
"1227","2006-09-13",343.16,433.04
"1228","2006-09-14",337.28,423.44
"1229","2006-09-15",335.6,420.59
"1230","2006-09-18",341.38,436.82
"1231","2006-09-19",335.89,423.53
"1232","2006-09-20",337.67,431.13
"1233","2006-09-21",338.92,435.25
"1234","2006-09-22",343.06,437.83
"1235","2006-09-25",343.49,438.58
"1236","2006-09-26",344.22,445.23
"1237","2006-09-27",347.84,453.22
"1238","2006-09-28",352.27,454.64
"1239","2006-09-29",348.46,447.15
"1240","2006-10-02",348.08,451.2
"1241","2006-10-03",335.54,428.2
"1242","2006-10-04",327.05,418.56
"1243","2006-10-05",332.17,429.28
"1244","2006-10-06",332.97,433.41
"1245","2006-10-09",336.56,443.09
"1246","2006-10-10",332.8,435.39
"1247","2006-10-11",333.01,439.71
"1248","2006-10-12",335.25,441.71
"1249","2006-10-13",342.46,453.42
"1250","2006-10-16",345.96,462.53
"1251","2006-10-17",343.11,457.55
"1252","2006-10-18",342.64,459.17
"1253","2006-10-19",348.41,472.44
"1254","2006-10-20",344.93,464.93
"1255","2006-10-23",337.27,453.65
"1256","2006-10-24",340.03,460.71
"1257","2006-10-25",341.93,462.33
"1258","2006-10-26",347.19,476.01
"1259","2006-10-27",347.93,469.85
"1260","2006-10-30",351.78,476.66
"1261","2006-10-31",351.48,477.51
"1262","2006-11-01",358.77,485.55
"1263","2006-11-02",363.75,492.43
"1264","2006-11-03",364.61,491.91
"1265","2006-11-06",364.01,496.99
"1266","2006-11-07",363.94,493.75
"1267","2006-11-08",358.54,488.95
"1268","2006-11-09",369.3,508.39
"1269","2006-11-10",365.49,510.99
"1270","2006-11-13",363.16,502.34
"1271","2006-11-14",362.93,502.64
"1272","2006-11-15",362.06,504.86
"1273","2006-11-16",360.9,505.01
"1274","2006-11-17",361.41,499.39
"1275","2006-11-20",361.39,497.32
"1276","2006-11-21",365.29,510.86
"1277","2006-11-22",365.52,509.24
"1278","2006-11-23",365.52,509.24
"1279","2006-11-24",365.62,509.38
"1280","2006-11-27",372.5,527.23
"1281","2006-11-28",370.6,532.16
"1282","2006-11-29",369.55,530.23
"1283","2006-11-30",376,543.98
"1284","2006-12-01",374.72,546.95
"1285","2006-12-04",375.05,549.29
"1286","2006-12-05",373.37,540.88
"1287","2006-12-06",366.51,532.09
"1288","2006-12-07",367.19,541.42
"1289","2006-12-08",363.78,536.09
"1290","2006-12-11",366.12,541.32
"1291","2006-12-12",364.38,539.66
"1292","2006-12-13",364.84,537.22
"1293","2006-12-14",364.02,538.65
"1294","2006-12-15",357.26,501.26
"1295","2006-12-18",356.71,483.89
"1296","2006-12-19",361.09,491.1
"1297","2006-12-20",360.5,488.66
"1298","2006-12-21",358.99,482.73
"1299","2006-12-22",359.44,488.4
"1300","2006-12-25",359.44,488.4
"1301","2006-12-26",362.3,492.15
"1302","2006-12-27",364.31,499.95
"1303","2006-12-28",368.18,500.6
"1304","2006-12-29",368.86,500.47
"1305","2007-01-01",368.86,500.47
"1306","2007-01-02",369.06,500.75
"1307","2007-01-03",364.37,490.56
"1308","2007-01-04",362.34,497.01
"1309","2007-01-05",351.22,473.65
"1310","2007-01-08",352.81,478.88
"1311","2007-01-09",356.1,488.06
"1312","2007-01-10",355.22,482.31
"1313","2007-01-11",355.59,482.96
"1314","2007-01-12",363.11,499.3
"1315","2007-01-15",363.11,499.3
"1316","2007-01-16",362.74,489.69
"1317","2007-01-17",367.04,500.04
"1318","2007-01-18",364.1,492.15
"1319","2007-01-19",368.98,501.34
"1320","2007-01-22",367.81,504.66
"1321","2007-01-23",374.7,514.82
"1322","2007-01-24",376.07,515.4
"1323","2007-01-25",376.07,523.89
"1324","2007-01-26",373.99,519.5
"1325","2007-01-29",373.23,514.86
"1326","2007-01-30",373.91,519.79
"1327","2007-01-31",378.4,527.44
"1328","2007-02-01",381.38,533.54
"1329","2007-02-02",374.82,520.01
"1330","2007-02-05",377.62,527.42
"1331","2007-02-06",379.17,531.97
"1332","2007-02-07",378.42,533.41
"1333","2007-02-08",381.64,535.82
"1334","2007-02-09",387.16,541.53
"1335","2007-02-12",384.45,533.97
"1336","2007-02-13",385.19,541.83
"1337","2007-02-14",387.26,543.84
"1338","2007-02-15",386.97,543.76
"1339","2007-02-16",387.83,544.92
"1340","2007-02-19",387.83,544.92
"1341","2007-02-20",381.25,539.09
"1342","2007-02-21",394.57,556.3
"1343","2007-02-22",394.04,555.65
"1344","2007-02-23",396.23,569.17
"1345","2007-02-26",398.19,573.12
"1346","2007-02-27",396.75,567.71
"1347","2007-02-28",388.31,550.21
"1348","2007-03-01",384.1,527.67
"1349","2007-03-02",372.02,501.07
"1350","2007-03-05",369.35,493.16
"1351","2007-03-06",373.45,502.32
"1352","2007-03-07",377.37,507.03
"1353","2007-03-08",378.92,507.68
"1354","2007-03-09",376.98,501.95
"1355","2007-03-12",376.13,506.61
"1356","2007-03-13",375.66,501.84
"1357","2007-03-14",371.7,496.88
"1358","2007-03-15",374.39,506.43
"1359","2007-03-16",378.4,511.93
"1360","2007-03-19",378.73,512.84
"1361","2007-03-20",381.53,518.22
"1362","2007-03-21",382.16,516.35
"1363","2007-03-22",384.62,522.62
"1364","2007-03-23",380.66,512.89
"1365","2007-03-26",384.66,520.2
"1366","2007-03-27",383.91,515.23
"1367","2007-03-28",386.32,522.09
"1368","2007-03-29",383.33,517.7
"1369","2007-03-30",384.18,522.04
"1370","2007-04-02",385.78,518.37
"1371","2007-04-03",384.8,521.55
"1372","2007-04-04",389.27,529
"1373","2007-04-05",390.48,533.73
"1374","2007-04-06",390.48,533.73
"1375","2007-04-09",389.25,536.74
"1376","2007-04-10",391.95,541.48
"1377","2007-04-11",392.12,539.97
"1378","2007-04-12",391.02,538.72
"1379","2007-04-13",396.94,547.89
"1380","2007-04-16",399.75,547.69
"1381","2007-04-17",398.66,545.41
"1382","2007-04-18",399.17,543.68
"1383","2007-04-19",396.35,534.42
"1384","2007-04-20",400.72,543.13
"1385","2007-04-23",399.96,547.02
"1386","2007-04-24",396.27,536.75
"1387","2007-04-25",396.15,536.09
"1388","2007-04-26",390.79,519.12
"1389","2007-04-27",393.03,523.82
"1390","2007-04-30",394.17,524.03
"1391","2007-05-01",390.65,516.18
"1392","2007-05-02",389.43,514.9
"1393","2007-05-03",394.85,521.73
"1394","2007-05-04",397.96,522.57
"1395","2007-05-07",398.52,527.03
"1396","2007-05-08",396.85,525.55
"1397","2007-05-09",394.08,520.6
"1398","2007-05-10",385.2,507.92
"1399","2007-05-11",388.29,514.36
"1400","2007-05-14",387.19,511.86
"1401","2007-05-15",389.7,515.02
"1402","2007-05-16",382.25,500.2
"1403","2007-05-17",379.84,498.45
"1404","2007-05-18",382.64,503.15
"1405","2007-05-21",383.82,508.27
"1406","2007-05-22",381.64,502.92
"1407","2007-05-23",383.24,507.44
"1408","2007-05-24",377.9,500.34
"1409","2007-05-25",379.1,503.51
"1410","2007-05-28",379.1,503.51
"1411","2007-05-29",380.45,512.42
"1412","2007-05-30",378.15,512.37
"1413","2007-05-31",382.44,522.13
"1414","2007-06-01",388.34,532.66
"1415","2007-06-04",388.15,533.07
"1416","2007-06-05",387.52,535.74
"1417","2007-06-06",387.28,532.12
"1418","2007-06-07",381.93,523
"1419","2007-06-08",373.43,506.02
"1420","2007-06-11",378.57,515.3
"1421","2007-06-12",375.23,508.2
"1422","2007-06-13",375.05,507.08
"1423","2007-06-14",376.94,511.23
"1424","2007-06-15",378.6,514.94
"1425","2007-06-18",379.44,514.22
"1426","2007-06-19",382.24,517.75
"1427","2007-06-20",379.59,514.89
"1428","2007-06-21",376.3,508.76
"1429","2007-06-22",377.96,506.13
"1430","2007-06-25",376.78,500.81
"1431","2007-06-26",371.42,477.58
"1432","2007-06-27",371.18,474.87
"1433","2007-06-28",374.45,481.71
"1434","2007-06-29",374.79,480.54
"1435","2007-07-02",379.71,491.02
"1436","2007-07-03",377.58,488.97
"1437","2007-07-04",377.58,488.97
"1438","2007-07-05",374.91,485.05
"1439","2007-07-06",377.38,491.94
"1440","2007-07-09",381.97,494.57
"1441","2007-07-10",383.13,500.61
"1442","2007-07-11",381.86,500.68
"1443","2007-07-12",385.45,508.66
"1444","2007-07-13",384.98,506.03
"1445","2007-07-16",384.57,504.49
"1446","2007-07-17",384.39,502.75
"1447","2007-07-18",388.86,513.32
"1448","2007-07-19",391.46,516.67
"1449","2007-07-20",395.26,517.82
"1450","2007-07-23",393.6,515.21
"1451","2007-07-24",395.58,519.65
"1452","2007-07-25",389.29,508.39
"1453","2007-07-26",382.88,500.73
"1454","2007-07-27",381.34,491.71
"1455","2007-07-30",383.94,499.19
"1456","2007-07-31",385.52,503.67
"1457","2007-08-01",383.64,501.33
"1458","2007-08-02",384.09,502.95
"1459","2007-08-03",388.57,509.33
"1460","2007-08-06",388.1,504.69
"1461","2007-08-07",387.59,507.16
"1462","2007-08-08",389.91,510.15
"1463","2007-08-09",382.29,492.21
"1464","2007-08-10",387.35,498.64
"1465","2007-08-13",387.1,498.33
"1466","2007-08-14",386.47,494.3
"1467","2007-08-15",386.52,486.8
"1468","2007-08-16",374.23,445.62
"1469","2007-08-17",379.28,457.56
"1470","2007-08-20",379.26,455.18
"1471","2007-08-21",379.12,446.42
"1472","2007-08-22",380.57,448.71
"1473","2007-08-23",380.43,451.38
"1474","2007-08-24",385.64,462.9
"1475","2007-08-27",384.99,456.35
"1476","2007-08-28",383.51,456.41
"1477","2007-08-29",384.64,459.64
"1478","2007-08-30",383.83,457.9
"1479","2007-08-31",388.44,468.3
"1480","2007-09-03",388.44,468.3
"1481","2007-09-04",394.11,476.89
"1482","2007-09-05",393.7,473.39
"1483","2007-09-06",401.67,480.26
"1484","2007-09-07",404.63,489.02
"1485","2007-09-10",406.2,486.9
"1486","2007-09-11",411.32,492.13
"1487","2007-09-12",411.14,490.57
"1488","2007-09-13",409.58,486.29
"1489","2007-09-14",409.57,487.3
"1490","2007-09-17",413.12,494.93
"1491","2007-09-18",413.11,495.95
"1492","2007-09-19",416.47,502.91
"1493","2007-09-20",422.45,516.98
"1494","2007-09-21",421.93,522.79
"1495","2007-09-24",422.3,523.74
"1496","2007-09-25",422.06,523.02
"1497","2007-09-26",420.22,520.2
"1498","2007-09-27",422.78,524.1
"1499","2007-09-28",428.6,534.72
"1500","2007-10-01",431.08,532.39
"1501","2007-10-02",420.95,516.88
"1502","2007-10-03",420.65,517.71
"1503","2007-10-04",425.33,518.92
"1504","2007-10-05",427.32,518.59
"1505","2007-10-08",422.59,513.76
"1506","2007-10-09",425.15,522.39
"1507","2007-10-10",426.86,525.71
"1508","2007-10-11",433.03,537.96
"1509","2007-10-12",431.42,534.87
"1510","2007-10-15",436.37,533.2
"1511","2007-10-16",436.3,525.68
"1512","2007-10-17",436.53,529.28
"1513","2007-10-18",440.24,531.38
"1514","2007-10-19",440.12,524.98
"1515","2007-10-22",435.47,522.08
"1516","2007-10-23",437.29,525.79
"1517","2007-10-24",438.77,523.54
"1518","2007-10-25",441.91,535.73
"1519","2007-10-26",451.42,550.24
"1520","2007-10-29",454.49,556.2
"1521","2007-10-30",451.79,552.33
"1522","2007-10-31",456.14,556.63
"1523","2007-11-01",455.27,552.33
"1524","2007-11-02",463.81,562.96
"1525","2007-11-05",465.28,570.32
"1526","2007-11-06",472.56,593.33
